
approach_bulgaria_title;Approach Bulgaria;;;;;;;;;;;;;;;;;;;;x
approach_bulgaria_desc;Over the Bosporus lie the lands of our Slavic friends. We could be able to strike a deal with them about some of their coastal cities.;;;;;;;;;;;;;;;;;;;;x
approach_venice_title;Approach Venice;;;;;;;;;;;;;;;;;;;;x
approach_venice_desc;Another country who owns a significant portion of the Aegean coast is the Venetian Republic. If we want to increase our influence over the Aegean, we should negotiate with them about some major cities they own.;;;;;;;;;;;;;;;;;;;;x
aegean_trade_title;Aegean domination;;;;;;;;;;;;;;;;;;;;x
aegean_trade_desc;After acquiring the most prized posessions in the Aegean, our traders can finally enjoy little to none competition over our new home sea.;;;;;;;;;;;;;;;;;;;;x
negotiate_greeks_title;Negotiate with the Greeks;;;;;;;;;;;;;;;;;;;;x
negotiate_greeks_desc;Ever since the presence of Byzantians over these lands, the Greeks have composed a large portion of our population. Surely, now they deserve equal rights with our Antian citizens?;;;;;;;;;;;;;;;;;;;;x
greek_shipbuilding_title;Greek shipbuilding;;;;;;;;;;;;;;;;;;;;x
greek_shipbuilding_desc;Ancient Greeks and their descendants have always been famous for the quality of their navies and the power of the weapons. It's time to bring back the old shipbuilding traditions!;;;;;;;;;;;;;;;;;;;;x
fortify_pontus_title;Fortify Pontus;;;;;;;;;;;;;;;;;;;;x
fortify_pontus_desc;Turks are close! Way too close. We should probably fortify out borders and draw plans to prepare against thier onslaught.;;;;;;;;;;;;;;;;;;;;x
thalassa_mas_title;Thalassa Mas;;;;;;;;;;;;;;;;;;;;x
thalassa_mas_desc;Our control over the Black sea is near absolute. Just like the Romans a long time ago, a new tradition should be established - one of calling it Our Sea.;;;;;;;;;;;;;;;;;;;;x
return_to_greece_title;Return to Greece;;;;;;;;;;;;;;;;;;;;x
return_to_greece_desc;By establishing a dominant position on the Greek peninsula, we can secure independence for all the Greek people by proclaiming ourselves the motive power of a unified Megali state.;;;;;;;;;;;;;;;;;;;;x
form_rum_title;Form Rum;;;;;;;;;;;;;;;;;;;;x
