form_germany_from_danzig_title;Three Hurrahs For Germany!;;;;;;;;;x;;;;
form_germany_from_danzig_desc;By controlling, directly or indirectly, the manifold principalities, duchies and free cities that make up the German Nation, we can unite our people into one singular nation state. Three Hurrahs for the German Empire!;;;;;;;;;;x;;;;
form_germany_from_bohemia_title;Three Hurrahs For Germany!;;;;;;;;;x;;;;
form_germany_from_bohemia_desc;By controlling, directly or indirectly, the manifold principalities, duchies and free cities that make up the German Nation, we can unite our people into one singular nation state. Three Hurrahs for the German Empire!;;;;;;;;;;x;;;;
Become_Prussia_title;Let us dye them in Prussian Blue!;;;;;;;;;x;;;;
Become_Prussia_desc;After reclaiming the territories that our ancestors lost to the Polish and Scandinavian invaders it is time to proclaim the Kingdom Of Prussia and unite the German people! Long Live the Kaiser!;;;;;;;;;;x;;;;
form_france_title; Je suis Francais!;;;;;;;;;x;;;;
NDY1.T;The Norman war of independence;;;;;;;;;;;;;
NDY1.D;After centuries of oppression, the Norman and Breton duchies are finally breaking free from our Nordic rulers who have looked down on us and treated us like we're scum. Now, the time to fight for our freedom has come! Normandy will not be ruled by Scandinavian pigs! We will let our old oppressors know that we are descendants of the great Carolingian Empire!;;;;;;;;;;;;;
NDY1.A;Long live Normandy!;;;;;;;;;;;;;
DEN1.T;Normans break free!;;;;;;;;;;;;;
DEN1.D;What a bunch of traitors! At first we took it as a joke, but these so-called "succesors of Carolingia" seriously believe they can defeat our noble Scandinavian spirit! Let us embark on ships like we did in the old Viking days and teach those bastards a lesson!;;;;;;;;;;;;;
DEN1.A;Death to traitors!;;;;;;;;;;;;;
DEN2.T;Norman separatists defeated!;;;;;;;;;;;;;
DEN2.D;As the Scandinavian cross rises above the coast of the fake Carolingians, we prove to Europe once again that Viking blood still flows in our veins and none shall question our rule!;;;;;;;;;;;;;
DEN2.A;Glory to Scandinavia!;;;;;;;;;;;;;
DEN3.T;Sweden demands Brittany;;;;;;;;;;;;;
DEN3.D;After crushing the Norman uprising we conquered Breton lands, which belonged to Sweden before the conflict. Now, they expect us to return it to them. Of course, the last say belongs to you, King.;;;;;;;;;;;;;
DEN3.A;Our Swedish brethren can have it.;;;;;;;;;;;;;
DENa3.A;Danish blood was spilled conquering these territories! We will not let our fallen soldiers' sacrifice be wasted!;;;;;;;;;;;;;
EN1.T;Normans break free!;;;;;;;;;;;;;
