
BOH;Bohemia;Boh?e;B?men;;Bohemia;;;;;;;;;x;;;;
DZG;Danzig-Pomeralia;Dantzig;Danzig;;Danzig;;;;;;;;;x;;;;
KRA;Galicia-Lodomeria;Cracovie;Krakau;;Cracovia;;;;;;;;;x;;;;
SIE;Transilvania;Transylvanie;Siebenb?gen;;Transilvania;;;;;;;;;x;;;;
SAR;Savoy;Pi?ont-Sardaigne;Sardinien-Piemont;;Piamonte-Cerde?;;;;;;;;;x;;;;
SIC;Napoles;Deux-Siciles;Sizilien-Neapel;;Las Dos Sicilias;;;;;;;;;x;;;;
ENG;Anglia;Royaume-Uni;Gro?ritannien;;Reino Unido;;;;;;;;;x;;;;
AFG;Durrani Empire;Afghanistan;Afghanistan;;Afganist?;;;;;;;;;x;;;;
CAM;Khmer Empire;Cambodge;Kambodscha;;Camboya;;;;;;;;;x;;;;
USA;Fredikerjord;?ats-Unis d'Am?ique;USA;;EE UU;;;;;;;;;x;;;;
COL;Vestlandet;Colombie;Columbia;;Columbia;;;;;;;;;x;;;;
NEN;New Sjaelland;Nouvelle-Angleterre;Neuengland;;Nueva Inglaterra;;;;;;;;;x;;;;
CUB;Kuba;Cuba;Kuba;;Cuba;;;;;;;;;x;;;;
QUE;Vinland;Qu?ec;Quebec;;Quebec;;;;;;;;;x;;;;
ARG;Provincias Unidas De La Plata;Argentine;Argentinien;;Argentina;;;;;;;;;x;;;;
CLM;Nueva Granada;Colombie;Kolumbien;;Colombia;;;;;;;;;x;;;;
MAN;The Union Of Vinland;Manhattan;Manhattan-Kommune;;Com de Manhattan;;;;;;;;;x;;;;
MUG;Mughal Empire;Mogholistan;Mughalistan;;Mughalist?;;;;;;;;;x;;;;
AGO_ADJ;Aragonese;Aragonese;Aragonese;;;;;;;;;;;x;
AGO;Aragon;Aragon;Aragon;;;;;;;;;;;x;
AGO_proletarian_dictatorship;Aragonese Democratic Republic;Aragonese Democratic Republic;Aragonese Democratic Republic;;;;;;;;;;;x;
AGO_presidential_dictatorship;Aragon;Aragon;Aragon;;;;;;;;;;;x;
AGO_bourgeois_dictatorship;Aragonese Republic;Aragonese Republic;Aragonese Republic;;;;;;;;;;;x;
AGO_fascist_dictatorship;Aragon Empire;Aragon Empire;Aragon Empire;;;;;;;;;;;x;
AGO_absolute_monarchy;Kingdom Of Aragon;Kingdom Of Aragon;Kingdom Of Aragon;;;;;;;;;;;x;
AGO_prussian_constitutionalism;Kingdom Of Aragon;Kingdom Of Aragon;Kingdom Of Aragon;;;;;;;;;;;x;
AGO_hms_government;Aragon;Aragon;Aragon;;;;;;;;;;;x;
AGO_democracy;Republic of Aragon;Republic of Aragon;Republic of Aragon;;;;;;;;;;;x;
AGO_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AGO_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AGO_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AGO_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AGO_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AGO_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AGO_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AGO_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AGO_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
INC_ADJ;Indochinese;Indochinese;Indochinese;;;;;;;;;;;x;
INC;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_proletarian_dictatorship;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_presidential_dictatorship;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_bourgeois_dictatorship;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_fascist_dictatorship;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_absolute_monarchy;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_prussian_constitutionalism;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_hms_government;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_democracy;Indochina;Indochina;Indochina;;;;;;;;;;;x;
INC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
INC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
INC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
INC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
INC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
INC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
INC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
INC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
INC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
TAR_ADJ;Tatar;Tatar;Tatar;;;;;;;;;;;x;
TAR;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_proletarian_dictatorship;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_presidential_dictatorship;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_bourgeois_dictatorship;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_fascist_dictatorship;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_absolute_monarchy;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_prussian_constitutionalism;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_hms_government;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_democracy;Tatarstan;Tatarstan;Tatarstan;;;;;;;;;;;x;
TAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
TAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
TAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
TAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
PON_ADJ;Pontic;Pontic;Pontic;;;;;;;;;;;x;
PON;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_proletarian_dictatorship;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_presidential_dictatorship;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_bourgeois_dictatorship;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_fascist_dictatorship;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_absolute_monarchy;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_prussian_constitutionalism;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_hms_government;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_democracy;Pontus;Pontus;Pontus;;;;;;;;;;;x;
PON_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
PON_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
PON_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
PON_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
