;;;;;;;;;;;;;;;;;;;;x
REV01.T;Cultural tensions in the British isles;;;;;;;;;;;;;;;;;;;;x
REV01.D;The settlement of the British isles by Scandinavian settlers has brought unwanted consequences. The locals are in dismay and are starting to organise revolts against their overlords. We are nearing the zenith of their unrest, and only time will tell what happens next.;;;;;;;;;;;;;;;;;;;;x
REV01.A;Concerning;;;;;;;;;;;;;;;;;;;;x
REV03.T;Britain unites against us;;;;;;;;;;;;;;;;;;;;x
REV03.D;People are flocking under the banner of a new national hero, who is inciting a major revolt against our Empire! He is considered to be a beacon of hope to the British people, and the morale of the people is rising. We expect to see major developments with him as the symbol of resistance against foreign oppression.;;;;;;;;;;;;;;;;;;;;x
REV03.A;Bring me his head!;;;;;;;;;;;;;;;;;;;;x
REV04.T;The future of Northumbria;;;;;;;;;;;;;;;;;;;;x
REV04.D;We have come to a crossroad. Two options have appeared on our table regarding the Northumbrian destiny. One is to stay loyal to our Danish overlords, and the other is to unite with Britain and join their revolt against Denmark. Which path should our nation take?;;;;;;;;;;;;;;;;;;;;x
REV04.A1;Northumbria is Danish!;;;;;;;;;;;;;;;;;;;;x
REV04.A2;Northumbria is British!;;;;;;;;;;;;;;;;;;;;x
REV04.A3;Northumbria is Celtic!;;;;;;;;;;;;;;;;;;;;x
REV05.T;Violent riots emerge;;;;;;;;;;;;;;;;;;;;x
REV05.D;Minor riots have started in the British isles. For now, they are not dangerous, but if we let them be they will get more arrogant and endanger the integrity of our nation. What should we do about them?;;;;;;;;;;;;;;;;;;;;x
REV05.A1;Suppress the riots;;;;;;;;;;;;;;;;;;;;x
REV05.A2;Let them be;;;;;;;;;;;;;;;;;;;;x
REV08.T;The riots escalate!;;;;;;;;;;;;;;;;;;;;x
REV08.D;The worst has came to the worst and the riots have gotten out of control. If we don't do something now, our control over the British isles will loosen and the rebels may overthrow our rule. We can bring help from our American colonies or accept the rebels' demands. What will be the best course of action for our nation?;;;;;;;;;;;;;;;;;;;;x
REV08.A1;Increase the funding of the army with American money;;;;;;;;;;;;;;;;;;;;x
REV08.A2;Conscript people from our American colonies;;;;;;;;;;;;;;;;;;;;x
REV08.A3;Accept the rebels' demands;;;;;;;;;;;;;;;;;;;;x
REV09.T;Our overlords increase tarrifs;;;;;;;;;;;;;;;;;;;;x
REV09.D;In order to defeat the rebels in the British isles, the Scandinavians have increased the tarrifs on our goods. This has caused an outrage in our country and increased the resentment towards the colonisers.;;;;;;;;;;;;;;;;;;;;x
REV09.A;We will not stand for this!;;;;;;;;;;;;;;;;;;;;x
REV10.T;Our overlords increase conscription;;;;;;;;;;;;;;;;;;;;x
REV10.D;In order to defeat the rebels in the British isles, the Scandinavians have begun conscripting more recruits. This has caused an outrage in our country and increased the resentment towards the colonisers.;;;;;;;;;;;;;;;;;;;;x
REV11.T;The British question;;;;;;;;;;;;;;;;;;;;x
REV11.D;Our overlords have granted the British people independence, but our population is still bound by the chains held by Scandinavians. We shouldn't allow this to continue any further! Our independence will be gained through spilled blood of our men fighting against foreign oppression!;;;;;;;;;;;;;;;;;;;;x
REV11.A;Break the chains!;;;;;;;;;;;;;;;;;;;;x
REV12.T;Pro-English governor killed by the army;;;;;;;;;;;;;;;;;;;;x
REV12.D;A governor supporting the English people has been murdered by the military. The people are fed up with their overlords and the unrest is higher than ever. The spark that will ignite the fires of the revolution has just been lighted, and the day of judgement has come for the Scandinavians.;;;;;;;;;;;;;;;;;;;;x
REV12.A1;Crush the rebellion!;;;;;;;;;;;;;;;;;;;;x
REV12.A2;Onwards, on the barricades!;;;;;;;;;;;;;;;;;;;;x
REV12.A3;Onwards, to Cardiff!;;;;;;;;;;;;;;;;;;;;x
REV14.T;Pro-Irish governor killed by the army;;;;;;;;;;;;;;;;;;;;x
REV14.D;A governor supporting the Irish people has been murdered by the military. The people are fed up with their overlords and the unrest is higher than ever. The spark that will ignite the fires of the revolution has just been lighted, and the day of judgement has come for oppressors.;;;;;;;;;;;;;;;;;;;;x
REV14.A1;Crush the rebellion!;;;;;;;;;;;;;;;;;;;;x
REV14.A2;Play as Ireland;;;;;;;;;;;;;;;;;;;;x
REV14.A3;Play as Wales;;;;;;;;;;;;;;;;;;;;x
REV16.T;Pro-Scottish governor killed by the army;;;;;;;;;;;;;;;;;;;;x
REV16.D;A governor supporting the Scottish people has been murdered by the military. The people are fed up with their overlords and the unrest is higher than ever. The spark that will ignite the fires of the revolution has just been lighted, and the day of judgement has come for oppressors.;;;;;;;;;;;;;;;;;;;;x
REV16.A1;Crush the rebellion!;;;;;;;;;;;;;;;;;;;;x
REV16.A2;Play as Ireland;;;;;;;;;;;;;;;;;;;;x
REV18.D;The Northumbrian people have decided to join the British revolution and reject their Danish overlords. We will break the chains that have bound us for many years!;;;;;;;;;;;;;;;;;;;;x
REV118.D;The Northumbrian people have decided to start a Celtic revolution and reject their Danish overlords. We will break the chains that have bound us for many years!;;;;;;;;;;;;;;;;;;;;x
REV118.A;Glory to the revolution!;;;;;;;;;;;;;;;;;;;;x
REV19.A;Glory to Britain!;;;;;;;;;;;;;;;;;;;;x
REV19.T;Northumbria offers help;;;;;;;;;;;;;;;;;;;;x
REV19.D;The people of Northumbria have decided to join our just revolt against Denmark. We will use any help we can get to ensure our freedom and the well-being of the British people.;;;;;;;;;;;;;;;;;;;;x
REV20.T;Brittany declares independence;;;;;;;;;;;;;;;;;;;;x
